country,year,violence_index
Lithuania,2023,0.14351121751547322
Lithuania,2024,0.08696724219303185
Luxembourg,2021,0.0869655636267107
Luxembourg,2022,0.0434909104269435
Luxembourg,2023,0.04349146018962793
Luxembourg,2024,4.531199339396155e-06
Madagascar,2021,0.5384128558263389
Madagascar,2022,0.40959902109711677
Madagascar,2023,0.7167162354311527
Madagascar,2024,0.5805526449882884
Malawi,2021,0.3178890429197149
Malawi,2022,0.4485637662374026
Malawi,2023,0.49219881554872635
Malawi,2024,0.36101407810464325
Malaysia,2021,0.4480737175740255
Malaysia,2022,0.31756196115550794
Malaysia,2023,0.31746608275662175
Malaysia,2024,0.36089336371897573
Maldives,2021,0.2305637757655269
Maldives,2022,0.1305600882533215
Maldives,2023,0.2741149970999628
Maldives,2024,0.230480742883291
Mali,2021,0.9448000777830717
Mali,2022,1.1290927826548804
Mali,2023,1.0341182133690408
Mali,2024,0.7710215007613561
Malta,2021,0.14349179317895305
Malta,2022,0.18697647071937543
Malta,2023,0.1869745481810812
Malta,2024,6.0371951457548555e-06
Marshall Islands,2023,0.04347864303659373
Marshall Islands,2024,1.2738900950570184e-07
Martinique,2021,0.1304694209200172
Martinique,2022,0.08696291019193556
Martinique,2023,0.23045520619863386
Martinique,2024,0.04348408744875896
Mauritania,2021,0.3609925852259984
Mauritania,2022,0.491598378535994
Mauritania,2023,0.4482863191763389
Mauritania,2024,0.36095912889221515
Mauritius,2021,0.27396439493576147
Mauritius,2022,0.2740453410801981
Mauritius,2023,0.27398889320598907
Mauritius,2024,0.27394279263048754
Mayotte,2021,0.23045996859199797
Mayotte,2022,0.44789271332207203
Mayotte,2023,0.3174233953275104
Mayotte,2024,0.23046610007937826
Mexico,2021,0.8988295918675534
Mexico,2022,0.9420057232209373
Mexico,2023,0.9301301237571878
Mexico,2024,0.7927651490767923
Micronesia,2021,0.0
Micronesia,2023,0.0
Moldova,2021,0.49133528863470777
Moldova,2022,0.6653057788881789
Moldova,2023,0.4913640626330378
